food items,Calories,Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B6 (mg),Vitamin B9 (mcg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Omega-3 (mg),Omega-6 (mg),Sugar (g),Veg/Non-Veg,Category,Male/Female
Aloo Paratha with Curd,310,45,8,10,5,200,5,0,0.2,5,0.1,0.2,1.5,0.1,20,100,2.5,20,100,150,450,1.2,50,600,4,Vegetarian,Breakfast,Male
Paneer Stuffed Dosa,340,42,12,12,3,300,3,0,0.3,3,0.1,0.2,1.2,0.1,25,150,1.8,30,120,120,400,1.5,40,550,2,Vegetarian,Breakfast,Male
Masala Poha with Peanuts,270,38,6,9,4,100,10,0,0.1,2,0.1,0.1,1,0.1,15,40,2,20,90,180,300,1,30,450,3,Vegetarian,Breakfast,Male
Besan Chilla with Vegies and Curd,250,28,10,8,4,150,6,0,0.2,4,0.1,0.1,1.3,0.1,18,120,2.2,35,110,140,370,1.1,45,520,2,Vegetarian,Breakfast,Male
Oats Upma with Vegies,220,35,6,6,5,100,4,0,0.2,3,0.1,0.1,0.8,0.1,12,50,2.1,25,90,170,320,0.9,25,400,2,Vegetarian,Breakfast,Male
Moong Dal Chilla with Paneer Stuffing,300,32,15,9,4,180,5,0,0.3,3,0.2,0.2,1.5,0.1,22,140,2,40,130,180,360,1.4,60,500,1,Vegetarian,Breakfast,Male
Idli with Peanut Chutney,200,30,6,6,3,70,2,0,0.1,2,0.1,0.1,0.7,0.1,10,80,1.5,25,85,100,320,0.8,25,450,1,Vegetarian,Breakfast,Male
Multigrain Paratha with Ghee,280,40,7,10,5,220,4,0,0.2,6,0.2,0.2,1,0.1,20,120,2.5,30,140,160,450,1.3,35,600,3,Vegetarian,Breakfast,Male
Boiled Eggs with Toast and Avocado,290,25,14,15,4,350,3,80,2,8,0.2,0.4,2,0.2,30,150,1.8,40,170,200,370,1.6,90,800,2,Non-Vegetarian,Breakfast,Male
Masala Oats with Nuts and Raisins,260,38,8,8,6,100,7,0,0.3,4,0.1,0.2,1,0.1,15,60,2.2,30,100,200,320,1.2,50,500,3,Vegetarian,Breakfast,Male
Rajma Chawal,320,55,12,6,6,300,8,0,0.3,8,0.2,0.3,2,0.2,40,120,3.5,50,180,300,450,1.6,30,600,2,Vegetarian,Lunch,Male
Paneer Butter Masala with Jeera Rice,430,48,12,18,5,500,6,0,0.4,12,0.3,0.4,2.5,0.3,60,200,2.8,70,230,350,600,1.8,40,700,3,Vegetarian,Lunch,Male
Chicken Biryani with Raita,450,50,18,14,3,450,4,120,1.2,5,0.3,0.4,4,0.3,50,150,2.3,60,200,350,700,2.1,80,1200,2,Non-Vegetarian,Lunch,Male
Chole with Bhature,400,55,10,12,8,300,10,0,0.5,15,0.2,0.3,1.8,0.2,45,140,3.5,50,190,320,650,1.5,30,700,3,Vegetarian,Lunch,Male
Dal Makhani with Butter Naan,480,52,14,18,7,400,6,0,0.4,10,0.3,0.3,2.5,0.2,55,170,3.8,60,220,340,700,2,35,800,2,Vegetarian,Lunch,Male
